ISO 3;Libelle;gafi;BLACK LIST ;gris;OCDE
LSO;LESOTHO;NO;NO;NO;NO
LVA;LETTONIE;YES;NO;NO;NO
LBN;LIBAN;NO;NO;NO;NO
LBR;LIBÉRIA;NO;NO;YES;YES
LBY;LIBYE;NO;NO;NO;NO
LIE;LIECHTENSTEIN;NO;NO;YES;YES
LTU;LITUANIE;NO;NO;NO;NO
LUX;LUXEMBOURG;NO;NO;NO;NO
MAC;MACAO;NO;YES;YES;NO
MKD;MACÉDOINE, L'EX-RÉPUBLIQUE YOUGOSLAVE DE;NO;NO;NO;NO
MDG;MADAGASCAR;NO;NO;NO;NO
MYS;MALAISIE;NO;NO;NO;NO
MWI;MALAWI;NO;NO;NO;NO
MDV;MALDIVES;NO;NO;YES;NO
MLI;MALI;NO;NO;NO;NO
MLT;MALTE;NO;NO;NO;YES
MNP;MARIANNES DU NORD, ÎLES;NO;NO;NO;NO
MAR;MAROC;NO;NO;NO;NO
MHL;MARSHALL, ÎLES;NO;YES;YES;YES
MTQ;MARTINIQUE;NO;NO;NO;NO
MUS;MAURICE;NO;NO;YES;YES
MRT;MAURITANIE;NO;NO;NO;NO
MYT;MAYOTTE;NO;NO;NO;NO
MEX;MEXIQUE;NO;NO;NO;NO
FSM;MICRONÉSIE, ÉTATS FÉDÉRÉS DE;NO;NO;NO;NO
MDA;MOLDOVA;NO;NO;NO;NO
MCO;MONACO;NO;NO;YES;YES
MNG;MONGOLIE;NO;YES;YES;NO
MNE;MONTÉNÉGRO;NO;NO;NO;NO
MSR;MONTSERRAT;NO;NO;YES;YES
MOZ;MOZAMBIQUE;NO;NO;NO;NO
MMR;MYANMAR;NO;NO;NO;NO
NAM;NAMIBIE;NO;YES;YES;NO
NRU;NAURU;NO;NO;YES;YES
NPL;NÉPAL;NO;NO;NO;NO
NIC;NICARAGUA;NO;NO;NO;NO
NER;NIGER;NO;NO;NO;NO
NGA;NIGÉRIA;NO;NO;NO;NO
NIU;NIUÉ;NO;NO;YES;YES
NFK;NORFOLK, ÎLE;NO;NO;NO;NO
NOR;NORVÈGE;NO;NO;NO;NO
NCL;NOUVELLE-CALÉDONIE;NO;NO;NO;NO
NZL;NOUVELLE-ZÉLANDE;NO;NO;NO;NO
IOT;OCÉAN INDIEN, TERRITOIRE BRITANNIQUE DE L';NO;NO;NO;NO
OMN;OMAN;NO;NO;NO;NO
UGA;OUGANDA;YES;NO;NO;NO
UZB;OUZBÉKISTAN;NO;NO;NO;NO
PAK;PAKISTAN;NO;NO;NO;NO
PLW;PALAOS;NO;YES;YES;NO
PSE;ÉTAT DE PALESTINE;NO;NO;NO;NO
PAN;PANAMA;NO;YES;YES;YES
PNG;PAPOUASIE-NOUVELLE-GUINÉE;NO;NO;NO;NO
PRY;PARAGUAY;NO;NO;NO;NO
NLD;PAYS-BAS;NO;NO;NO;NO
PER;PÉROU;NO;NO;NO;NO
PHL;PHILIPPINES;NO;NO;NO;NO
PCN;PITCAIRN;NO;NO;NO;NO
POL;POLOGNE;NO;NO;NO;NO
PYF;POLYNÉSIE FRANÇAISE;NO;NO;NO;NO
PRI;PORTO RICO;NO;NO;NO;NO
PRT;PORTUGAL;NO;NO;NO;NO
QAT;QATAR;NO;NO;NO;NO
REU;RÉUNION;NO;NO;NO;NO
ROU;ROUMANIE;NO;NO;NO;NO
GBR;ROYAUME-UNI;NO;NO;NO;NO
RUS;RUSSIE, FÉDÉRATION DE;NO;NO;NO;NO
RWA;RWANDA;NO;NO;NO;NO
ESH;SAHARA OCCIDENTAL;NO;NO;NO;NO
BLM;SAINT-BARTHÉLEMY;NO;NO;NO;NO
KNA;SAINT-KITTS-ET-NEVIS;NO;NO;YES;YES
SMR;SAINT-MARIN;NO;NO;NO;YES
MAF;SAINT-MARTIN (PARTIE FRANÇAISE);NO;NO;NO;NO
SXM;SAINT-MARTIN (PARTIE NÉERLANDAISE);NO;NO;NO;NO
SPM;SAINT-PIERRE-ET-MIQUELON;NO;NO;NO;NO
VAT;SAINT-SIÈGE (ÉTAT DE LA CITÉ DU VATICAN);NO;NO;NO;NO
VCT;SAINT-VINCENT-ET-LES-GRENADINES;NO;NO;YES;YES
SHN;SAINTE-HÉLÈNE, ASCENSION ET TRISTAN DA CUNHA;NO;NO;NO;NO
LCA;SAINTE-LUCIE;NO;YES;YES;YES
SLB;SALOMON, ÎLES;NO;NO;NO;NO
WSM;SAMOA;NO;YES;YES;YES
ASM;SAMOA AMÉRICAINES;NO;YES;YES;NO
STP;SAO TOMÉ-ET-PRINCIPE;NO;NO;NO;NO
SEN;SÉNÉGAL;NO;NO;NO;NO
SRB;SERBIE;NO;NO;NO;NO
SYC;SEYCHELLES;NO;NO;YES;YES
SLE;SIERRA LEONE;NO;NO;NO;NO
SGP;SINGAPOUR;NO;NO;NO;NO
SVK;SLOVAQUIE;NO;NO;NO;NO
SVN;SLOVÉNIE;NO;NO;NO;NO
SOM;SOMALIE;NO;NO;NO;NO
SDN;SOUDAN;NO;NO;NO;NO
SSD;SOUDAN DU SUD;NO;NO;NO;NO
LKA;SRI LANKA;YES;NO;NO;NO
SWE;SUÈDE;NO;NO;NO;NO
CHE;SUISSE;NO;NO;NO;NO
SUR;SURINAME;NO;NO;NO;NO
SJM;SVALBARD ET ÎLE JAN MAYEN;NO;NO;NO;NO
SWZ;SWAZILAND;NO;NO;NO;NO
SYR;SYRIENNE, RÉPUBLIQUE ARABE;NO;NO;NO;NO
TJK;TADJIKISTAN;NO;NO;NO;NO
TWN;TAÏWAN, PROVINCE DE CHINE;NO;NO;NO;NO
TZA;TANZANIE, RÉPUBLIQUE UNIE DE;NO;NO;NO;NO
TCD;TCHAD;NO;NO;NO;NO
CZE;TCHÉQUIE;NO;NO;NO;NO
ATF;TERRES AUSTRALES FRANÇAISES;NO;NO;NO;NO
THA;THAÏLANDE;NO;NO;NO;NO
TLS;TIMOR-LESTE;NO;NO;NO;NO
TGO;TOGO;NO;NO;NO;NO
TKL;TOKELAU;NO;NO;NO;NO
TON;TONGA;NO;NO;NO;NO
TTO;TRINITÉ-ET-TOBAGO;YES;YES;YES;NO
TUN;TUNISIE;YES;YES;YES;NO
TKM;TURKMÉNISTAN;NO;NO;NO;NO
TCA;TURKS ET CAÏQUES, ÎLES;NO;NO;YES;YES
TUR;TURQUIE;NO;NO;NO;NO
TUV;TUVALU;NO;NO;NO;NO
UKR;UKRAINE;NO;NO;NO;NO
URY;URUGUAY;NO;NO;NO;NO
VUT;VANUATU;YES;NO;YES;YES
VEN;VENEZUELA, RÉPUBLIQUE BOLIVARIENNE DU;NO;NO;NO;NO
VNM;VIET NAM;NO;NO;NO;NO
WLF;WALLIS-ET-FUTUNA;NO;NO;NO;NO
YEM;YÉMEN;YES;NO;NO;NO
ZMB;ZAMBIE;NO;NO;NO;NO
ZWE;ZIMBABWE;NO;NO;NO;NO
